NODE                                     BOND  INTERFACE METRIC              VALUE ISSUE
---------------------------------------- ----- --------- -------------- ---------- -----
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_busy   152800443 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_empty     456617 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_full   152728542 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_reuse 2410282652 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_waive     239442 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_busy       72351 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_empty    1049969 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_full         296 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_reuse  246033904 yes  
compute1.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_waive     833702 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f0np0 rx_cache_busy          55 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f0np0 rx_cache_empty     304832 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f0np0 rx_cache_full           0 no   
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f0np0 rx_cache_reuse     323977 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f0np0 rx_cache_waive      22847 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f1np1 rx_cache_busy          66 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f1np1 rx_cache_empty     282240 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f1np1 rx_cache_full           0 no   
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f1np1 rx_cache_reuse     384702 yes  
compute1.ocpa008pp003100.vodafone.com.au bond1 ens3f1np1 rx_cache_waive          0 no   
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_busy      959399 yes  
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_empty    1164151 yes  
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_full      860570 yes  
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_reuse  717220066 yes  
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f0np0 rx_cache_waive     974285 yes  
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_busy       65558 yes  
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_empty    1635062 yes  
compute2.ocpa008pp003100.vodafone.com.au bond0 ens1f1np1 rx_cache_full         187 yes  
